category
Dog breed
Movie title
Country
Pizza topping
Board game
Song title
Book title
Sport
Cartoon character
Vegetable
Fruit
Color
Body part
Holiday
TV show
Musical instrument
Zoo animal
Breakfast food
School subject
Candy
Clothing brand
Superhero
Dance style
Car brand
Flower
Dessert
Cheese
Planet or celestial body
Ice cream flavor
Kitchen appliance
Famous scientist
Weather phenomenon
Pasta shape
Famous landmark
Baby name
Tree
Cocktail
Disney movie
Fish
Tool
Social media platform
Olympic sport
Fast food chain
Hat type
Famous painter
Boy band or girl group
Reality TV show
Cookie type
Horror movie
Playground game
Soup
Camping item
Farm animal
Musical genre
Card game
Boat type
Household chore
Famous inventor
Sandwich
Bedtime story
Fairy tale character
Salad type
Famous athlete
Berry
Beach item
Winter sport
Bread type
Romantic movie
Nut
Famous building
Bird
Children's toy
Harry Potter character
Tea type
Famous singer
Bean type
National park
Coffee drink
Magic trick
Workout type
Famous chef
Wine variety
Sitcom
Nursery rhyme
Museum type
Famous bridge
Winter clothing item
Pizza style
Spice
Yoga pose
Pokemon
Phobia
Gemstone
Constellation
App on your phone
Emoji
Font
Podcast
Cryptocurrency
Dance move
Sushi roll
Dinosaur
Greek god
Shakespeare play
Pixar movie
Marvel character
Martial art
Element on periodic table
Capital city
African country
Asian dish
Mexican food
Italian dish
Chip flavor
Soda brand
Beer brand
Cereal brand
Chocolate bar
Snack food
Household pet
Insect
Reptile
Ocean creature
Jungle animal
Mythical creature
Zodiac sign
Tarot card
Fairy tale
Nursery rhyme character
Disney villain
Disney princess
Animated TV show
Netflix series
90s TV show
One-hit wonder
Rapper
Band name
Festival
Award show
Magazine
Newspaper
Website
YouTube channel
TikTok trend
Vine reference
Slang term
Foreign word people use
Three-letter word
Silent letter word
Tongue twister
Riddle
Knock-knock joke subject
Celebrity couple
Famous duo
Talk show host
Comedian
Stand-up special
Documentary
Anime
Studio Ghibli film
K-pop group
Musical on Broadway
Opera
Classical composer
Jazz musician
DJ name
Music festival
Album name
One-word song title
Song with a name in it
Song about love
Sports team
NFL team
NBA player
Soccer club
Tennis player
Golfer
Swimmer
Figure skater
Extreme sport
Water sport
Ball sport
Racquet sport
Track and field event
Gym exercise
Fitness brand
Athleisure brand
Sneaker brand
Luxury brand
Perfume brand
Makeup brand
Skincare product
Hair style
Piercing location
Fabric type
Pattern on clothing
Jewelry type
Watch brand
Handbag brand
Sunglasses brand
Fashion designer
Shoe brand
Hat brand
Wedding venue type
Honeymoon destination
Island
Beach
Mountain
Volcano
River
Lake
Desert
Waterfall
UNESCO World Heritage Site
Roller coaster
Theme park
Carnival ride
Arcade game
Casino game
Poker hand
Chess piece
Monopoly property
Scrabble word
Game show
Party game
Drinking game
Herb
Currency
Programming language
Dog command
Pasta sauce
Salad dressing
Baked good
State in the US
Canadian province
European city
South American country
Language
Occupation
Paint color
Furniture item
Room in a house
Type of doctor
College major
Cleaning product
Condiment
Dip or spread
Frozen food
Canned food
Dairy product
Grain
Leafy green
Root vegetable
Mushroom type
Pepper variety
Citrus fruit
Tropical fruit
Dried fruit
Meat cut
Seafood
Sausage type
BBQ item
Knife type
Cooking method
Kitchen utensil
Baking ingredient
Measuring unit
Power tool
Hand tool
Garden tool
Hardware store item
Phone brand
Laptop brand
Video game console
Streaming service
File format
Computer part
Software program
Operating system
Search engine
Email provider
Office supply
Pen type
Math symbol
Shape
Unit of time
Unit of distance
Unit of weight
Dog trick
Cat breed
Horse breed
Shark species
Whale species
Butterfly species
Wild cat
Primate
Amphibian
Freshwater fish
Wildflower
Houseplant
Garden vegetable
Wood type
Rock type
Mineral
Cloud type
Natural disaster
Halloween costume
Christmas gift
Birthday cake flavor
Wedding song
Grocery store item
Restaurant chain
Store at a mall
Drive-thru order
Movie snack
